step 00 | misses   40 | transfer   0.76 ms | step time  14.83 ms
step 01 | misses   40 | transfer   0.77 ms | step time   0.22 ms
step 02 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 03 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 04 | misses   39 | transfer   0.71 ms | step time   0.14 ms
step 05 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 06 | misses   40 | transfer   0.72 ms | step time   0.14 ms
step 07 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 08 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 09 | misses   40 | transfer   0.85 ms | step time   0.14 ms
step 10 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 11 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 12 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 13 | misses   40 | transfer   0.72 ms | step time   0.13 ms
step 14 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 15 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 16 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 17 | misses   40 | transfer   0.72 ms | step time   0.13 ms
step 18 | misses   39 | transfer   0.73 ms | step time   0.13 ms
step 19 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 20 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 21 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 22 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 23 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 24 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 25 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 26 | misses   38 | transfer   0.70 ms | step time   0.15 ms
step 27 | misses   40 | transfer   0.72 ms | step time   0.14 ms
step 28 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 29 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 30 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 31 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 32 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 33 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 34 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 35 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 36 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 37 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 38 | misses   39 | transfer   0.71 ms | step time   0.15 ms
step 39 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 40 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 41 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 42 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 43 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 44 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 45 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 46 | misses   39 | transfer   0.73 ms | step time   0.13 ms
step 47 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 48 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 49 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 50 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 51 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 52 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 53 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 54 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 55 | misses   40 | transfer   0.73 ms | step time   0.15 ms
step 56 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 57 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 58 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 59 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 60 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 61 | misses   39 | transfer   0.71 ms | step time   0.13 ms
step 62 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 63 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 64 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 65 | misses   40 | transfer   0.73 ms | step time   0.14 ms
step 66 | misses   40 | transfer   0.74 ms | step time   0.13 ms
step 67 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 68 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 69 | misses   39 | transfer   0.72 ms | step time   0.13 ms
step 70 | misses   40 | transfer   0.73 ms | step time   0.13 ms
step 71 | misses   40 | transfer   0.73 ms | step time   0.13 ms
