t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,4,32,8,0,40,0.980139,4,0.115395
1,4,32,8,0,0,0.0,1,0.03767
2,4,32,8,0,0,0.0,1,0.038624
3,4,32,8,0,0,0.0,1,0.037432
4,4,32,8,0,0,0.0,1,0.036955
5,4,32,8,0,0,0.0,1,0.03624
6,4,32,8,0,0,0.0,1,0.036716
7,4,32,8,0,0,0.0,1,0.03767
8,4,32,8,0,0,0.0,1,0.036955
9,4,32,8,0,0,0.0,1,0.038385
10,4,32,8,0,0,0.0,1,0.035763
11,4,32,8,0,0,0.0,1,0.037432
12,4,32,8,0,0,0.0,1,0.036478
13,4,32,8,0,0,0.0,1,0.038624
14,4,32,8,0,0,0.0,1,0.038624
15,4,32,8,0,0,0.0,1,0.036716
16,4,32,8,0,0,0.0,1,0.037432
17,4,32,8,0,0,0.0,1,0.035763
18,4,32,8,0,0,0.0,1,0.038624
19,4,32,8,0,0,0.0,1,0.036716
20,4,32,8,0,0,0.0,1,0.037432
21,4,32,8,1,0,0.0,1,0.035524
22,4,32,8,1,0,0.0,1,0.037432
23,4,32,8,1,0,0.0,1,0.038385
24,4,32,8,1,0,0.0,1,0.03624
25,4,32,8,1,0,0.0,1,0.036716
26,4,32,8,1,0,0.0,1,0.037432
27,4,32,8,1,0,0.0,1,0.038385
28,4,32,8,1,0,0.0,1,0.03767
29,4,32,8,1,0,0.0,1,0.036478
30,4,32,8,1,0,0.0,1,0.037432
31,4,32,8,1,0,0.0,1,0.036478
32,4,32,8,1,0,0.0,1,0.036955
33,4,32,8,1,0,0.0,1,0.037193
34,4,32,8,1,0,0.0,1,0.03624
35,4,32,8,1,0,0.0,1,0.036478
36,4,32,8,1,0,0.0,1,0.03767
37,4,32,8,1,0,0.0,1,0.037193
38,4,32,8,1,0,0.0,1,0.038624
39,4,32,8,1,0,0.0,1,0.036955
40,4,32,8,1,0,0.0,1,0.036478
41,4,32,8,1,0,0.0,1,0.036001
42,4,32,8,1,0,0.0,1,0.037432
43,4,32,8,1,0,0.0,1,0.03624
44,4,32,8,1,0,0.0,1,0.036716
45,4,32,8,1,0,0.0,1,0.038147
46,4,32,8,1,0,0.0,1,0.037909
47,4,32,8,1,0,0.0,1,0.03767
48,4,32,8,1,0,0.0,1,0.036955
49,4,32,8,1,0,0.0,1,0.036955
50,4,32,8,1,0,0.0,1,0.038147
51,4,32,8,1,0,0.0,1,0.037432
52,4,32,8,1,0,0.0,1,0.040054
53,4,32,8,1,0,0.0,1,0.036716
54,4,32,8,1,0,0.0,1,0.039816
55,4,32,8,1,0,0.0,1,0.038385
56,4,32,8,1,0,0.0,1,0.036001
57,4,32,8,1,0,0.0,1,0.03624
58,4,32,8,1,0,0.0,1,0.039339
59,4,32,8,1,0,0.0,1,0.03624
60,4,32,8,1,0,0.0,1,0.036955
61,4,32,8,1,0,0.0,1,0.036955
62,4,32,8,1,0,0.0,1,0.036955
63,4,32,8,1,0,0.0,1,0.036716
64,4,32,8,1,0,0.0,1,0.036955
65,4,32,8,1,0,0.0,1,0.037193
66,4,32,8,1,0,0.0,1,0.036716
67,4,32,8,1,0,0.0,1,0.039101
68,4,32,8,1,0,0.0,1,0.036716
69,4,32,8,1,0,0.0,1,0.036955
70,4,32,8,1,0,0.0,1,0.037193
71,4,32,8,0,0,0.0,0,0.0
72,4,32,8,1,0,0.0,1,0.038862
73,4,32,8,1,0,0.0,1,0.037193
74,4,32,8,1,0,0.0,1,0.03624
75,4,32,7,1,0,0.0,1,0.040054
76,4,32,7,1,0,0.0,1,0.039577
