t,prefetch_k,needed_local,needed_sparse,evictions,ondemand_misses,ondemand_transfer_ms,prefetch_misses,prefetch_transfer_ms
0,0,32,8,0,40,1.13225,0,0.0
1,0,32,8,0,9,0.212908,0,0.0
2,0,32,8,0,9,0.198126,0,0.0
3,0,32,8,3,9,0.193596,0,0.0
4,0,32,7,8,8,0.175714,0,0.0
5,0,32,8,9,9,0.195265,0,0.0
6,0,32,8,9,9,0.197172,0,0.0
7,0,32,8,9,9,0.187635,0,0.0
8,0,32,8,9,9,0.194073,0,0.0
9,0,32,8,9,9,0.195503,0,0.0
10,0,32,8,9,9,0.19002,0,0.0
11,0,32,8,9,9,0.196934,0,0.0
12,0,32,8,9,9,0.188112,0,0.0
13,0,32,8,9,9,0.192165,0,0.0
14,0,32,8,9,9,0.191689,0,0.0
15,0,32,8,9,9,0.191689,0,0.0
16,0,32,8,8,8,0.17333,0,0.0
17,0,32,8,9,9,0.193119,0,0.0
18,0,32,8,9,9,0.192165,0,0.0
19,0,32,8,9,9,0.189543,0,0.0
20,0,32,8,9,9,0.191212,0,0.0
21,0,32,8,9,9,0.191689,0,0.0
22,0,32,8,8,8,0.169277,0,0.0
23,0,32,8,9,9,0.190735,0,0.0
24,0,32,8,9,9,0.189304,0,0.0
25,0,32,8,9,9,0.189543,0,0.0
26,0,32,7,8,8,0.168324,0,0.0
27,0,32,8,9,9,0.188112,0,0.0
28,0,32,8,9,9,0.194311,0,0.0
29,0,32,8,9,9,0.188351,0,0.0
30,0,32,8,9,9,0.190496,0,0.0
31,0,32,8,9,9,0.190258,0,0.0
32,0,32,8,9,9,0.186205,0,0.0
33,0,32,8,9,9,0.190496,0,0.0
34,0,32,8,9,9,0.200033,0,0.0
35,0,32,8,9,9,0.190258,0,0.0
36,0,32,8,9,9,0.196457,0,0.0
37,0,32,8,9,9,0.18692,0,0.0
38,0,32,7,8,8,0.1688,0,0.0
39,0,32,8,8,8,0.167608,0,0.0
40,0,32,8,9,9,0.189304,0,0.0
41,0,32,8,9,9,0.187635,0,0.0
42,0,32,8,9,9,0.19145,0,0.0
43,0,32,8,9,9,0.188828,0,0.0
44,0,32,8,8,8,0.170708,0,0.0
45,0,32,8,9,9,0.19002,0,0.0
46,0,32,8,9,9,0.189066,0,0.0
47,0,32,8,9,9,0.189066,0,0.0
48,0,32,8,9,9,0.188589,0,0.0
49,0,32,8,9,9,0.190258,0,0.0
50,0,32,8,9,9,0.188112,0,0.0
51,0,32,8,9,9,0.186443,0,0.0
52,0,32,8,8,8,0.1719,0,0.0
53,0,32,8,9,9,0.190258,0,0.0
54,0,32,8,9,9,0.188589,0,0.0
55,0,32,8,9,9,0.19002,0,0.0
56,0,32,8,9,9,0.194311,0,0.0
57,0,32,8,9,9,0.193119,0,0.0
58,0,32,8,9,9,0.187159,0,0.0
59,0,32,8,9,9,0.19145,0,0.0
60,0,32,8,9,9,0.187159,0,0.0
61,0,32,7,8,8,0.171185,0,0.0
62,0,32,8,9,9,0.190735,0,0.0
63,0,32,8,9,9,0.191927,0,0.0
